Name,Reference,Reference_URL,Right_ascension,Declination,vrad,e_vrad,teff,e_teff,logg,e_logg,feh,e_feh,Notes,Additional source,Star number,RA,DEC,_r,RAJ2000,DEJ2000,SrcIDgaia,RAgaia,e_RAgaia,DEgaia,e_DEgaia,Org,Nu,EPucac,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,f.mag,Rmag,Jmag,Hmag,Kmag,Separation_ucac5,source_id,ra_cone,dec_cone,l,b,ecl_lon,ecl_lat,parallax,pmra_gaia,pmdec_gaia,phot_g_mean_mag,ref_epoch,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_bad_obs_ac,astrometric_n_bad_obs_al,astrometric_n_good_obs_ac,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_primary_flag,astrometric_priors_used,astrometric_relegation_factor,astrometric_weight_ac,astrometric_weight_al,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,hip,matched_observations,parallax_pmdec_corr,parallax_pmra_corr,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,phot_variable_flag,pmra_pmdec_corr,ra_dec_corr,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,tycho2_id,Separation_gaia
HE 2327-5642,Mashonika et al. (2010),http://adsabs.harvard.edu/abs/2010A%26A...516A..46M,23 30 37.2,-56 26 14,282.2,0.9,5050,70,2.34,0.1,-2.78,0.09,Radial velocity from median of measurements; excluding the 302.4 km/s outlier,http://adsabs.harvard.edu/abs/2016JPhCS.665a2051F,1,352.65500000000003,-56.43722222222223,2.71E-4,352.654543,-56.4373214,6495850375470530176,352.654635,0.1,-56.4373653,0.1,2,4,1998.611,11.1,1.2,-9.6,1.2,13.647,14.095,13.35,12.422,11.908,11.87,2.714210761701467E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS CS 22183-031,Honda et al. (2004),http://adsabs.harvard.edu/abs/2004ApJ...607..474H,01 09 05.078,-04 43 21.15,8.0,1.0,5270,100,2.8,0.3,-2.93,0.2,Errors in teff/logg are systematic; error in metallicity is standard deviation in metallicity. Radial velocity from http://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1992AJ....103.1987B&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf (ADS link: http://adsabs.harvard.edu/abs/1992AJ....103.1987B ) uncertainty guessed at 1 km/s,--,2,17.271158333333325,-4.722541666666666,7.9E-5,17.2712264,-4.7225831,2482988179422977536,17.2712975,26.8,-4.7226347,9.7,2,3,1999.866,16.9,2.3,-12.3,1.7,13.294,14.128,13.17,12.111,11.654,11.582,7.948828510976527E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS CS 31078-018,Lai et al. (2008),http://iopscience.iop.org/article/10.1086/588811/pdf,03 01 00.696,+06 16 31.89,81.3,0.2,5257,100,2.75,0.2,-2.85,0.1,--,--,3,45.25290000000001,6.275524999999997,4.4E-5,45.2528614,6.2755033,7189878332862720,45.2529333,0.1,6.2754597,0.1,2,4,2000.654,17.9,1.3,-11.0,1.3,12.844,13.59,12.64,11.496,11.071,10.999,4.408000800889143E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS 29491-069,Hayek et al. (2009),https://www.aanda.org/articles/aa/pdf/2009/35/aa11121-08.pdf,12 21 34.1,-03 28 40,377.1,1.0,5300,100,2.8,0.2,-2.51,0.16,Radial velocity taken from mean of -377.9; -376.3,HERES also measured stellar parameters: 5103 (100); 2.5 (0.3); -2.76 (0.13),4,185.39208333333332,-3.4777777777777774,2.05E-4,185.3922468,-3.4776542,3693297112893884544,185.3922506,0.9,-3.4777131,0.4,2,2,2000.191,0.9,5.0,-14.3,5.1,15.707,16.287,15.24,14.493,14.016,13.891,2.0468144121940025E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HE 1219-0312,Hayek et al. (2009),https://www.aanda.org/articles/aa/pdf/2009/35/aa11121-08.pdf,22 31 02.1,-32 38 36,163.9,1.0,5060,100,2.3,0.2,-2.96,0.14,Had to estimate radial velocity and error from Figure 1 of https://www.aanda.org/articles/aa/pdf/2009/35/aa11121-08.pdf,HERES also measured stellar params: 5140 (100); 2.4 (0.4); -2.80 (0.12),5,337.75875,-32.64333333333333,3.26E-4,337.7591008,-32.6434722,6600971314948606592,337.7591581,0.2,-32.6436242,0.2,2,8,1998.848,10.7,0.9,-33.8,0.9,12.778,13.183,12.72,11.604,11.165,11.131,3.264025710517872E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS CS 30306-132,Honda et al. (2004),http://adsabs.harvard.edu/abs/2004ApJ...607..474H,15 14 18.905,+07 27 02.80,,,5110,100,2.5,0.3,-2.42,0.13,"Errors in teff/logg are systematic. Christlieb et al. (2004) note that it could be a binary star. Has ""actinide boost"" (1 of 2 stars known as of 2004)",https://arxiv.org/pdf/astro-ph/0408389.pdf,6,228.57877083333332,7.450777777777778,6.5E-5,228.5788279,7.450745,1163455203958063872,228.5787914,0.2,7.45075,0.1,2,4,2000.534,-9.0,1.2,1.2,1.2,12.558,13.002,12.65,11.302,10.853,10.751,6.53928598854686E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS CS 22892-052,Sneden et al. (2003),http://adsabs.harvard.edu/abs/2003ApJ...591..936S,22 17 01.5,-16 39 26,13.0,1.0,4800,75,1.5,0.3,-2.5,0.15,Radial velocity from http://simbad.u-strasbg.fr/simbad/sim-ref?bibcode=2014AJ....147..136R,--,7,334.25624999999997,-16.657222222222227,7.01E-4,334.256916,-16.6575133,6826025986350385280,334.2569444,2.2,-16.6575522,3.2,2,4,1999.708,6.4,1.6,-9.1,1.7,12.847,13.227,13.03,11.492,11.022,10.929,7.013106563182718E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 221170,Ivans et al. (2006),http://adsabs.harvard.edu/abs/2006ApJ...645..613I,23 29 28.8087,+30 25 57.849,-121.73,0.26,4500,100,1.0,0.3,-2.19,0.15,Radial velocity from http://simbad.u-strasbg.fr/simbad/sim-ref?bibcode=2008A%26A...480...91S  no companion detected after 14 years. Errors assumed  couldnt find them in Ivans et al. (2006),--,8,352.37003625,30.43273583333333,5.9E-5,352.3700269,30.4327944,2869759776953662080,352.3699561,0.2,30.4325119,0.2,1,0,2001.757,-16.6,2.2,-76.8,2.2,7.205,7.346,7.06,5.532,4.987,4.836,5.9118922479674623E-5,2869759776953662080,352.3699561768959,30.43251182027164,102.70452652719128,-29.199896430854405,6.43902066393571,30.681452530918147,2.233011207650482,-16.60483821543645,-53.7593820482453,7.205389358425585,2015.0,0.2447269210326486,0.15488823650237063,0.3340158181859316,0.03771294144422592,0.029229745128030914,0.4076305,0.9204968551301883,472.4947393116965,3,0,183,186,186,186,,3,3.6819477,7.966287E-6,1.145875,0.16079755,0.20546125,0.08687057,,115949,30,0.054285966,0.027545776,2.1269255199154723E7,5809.289127002069,234,NOT_AVAILABLE,0.23584422,0.3933845,1347913,0.21568918,0.0764676,0.24072817,178.17804,-19.831005,41.00065,-9.751535,0.26098457,0.5466935,0.27641642,0.28625122,1635378410781933568,,2.3441100725504592E-4
BPS CS 31082-001,Hill et al. (2002),http://adsabs.harvard.edu/abs/2002A%26A...387..560H,01 29 31.1324,-16 00 45.495,138.452,0.893,4825,50,1.5,0.3,-2.9,0.1,"Radial velocity from 2017AJ....153.7521K""",--,9,22.379718333333333,-16.01263750000001,3.0E-6,22.3797164,-16.0126356,2451773937663757696,22.3797639,0.2,-16.0128158,0.1,1,8,1999.653,10.7,0.9,-42.3,0.9,11.328,11.621,10.71,10.053,9.612,9.464,2.65769817732149E-6,2451773937663757696,22.379764019571816,-16.01281585402313,163.33954746698433,-75.80310855800079,14.269203870767482,-23.4947188282005,0.5864397007361396,10.562510533189467,-42.80278936135632,11.32843164836656,2015.0,0.2421175673732971,0.13940614908806148,0.35518083999921446,0.5174693832208674,0.42950196400420876,,0.40539155846535596,293.51887305269827,6,3,204,207,210,210,,5,4.0543385,3.6945446E-5,5.655442,-0.66262347,0.7557413,-0.14340776,,,27,-0.8031591,-0.1483505,477018.657913258,853.5316754749261,207,NOT_AVAILABLE,0.3332061,0.7576848,418939,-0.5717595,0.4311454,-0.488705,163.05432,-19.705494,49.911247,-11.773097,0.7718427,0.7270473,0.5011913,0.3860755,1635378410781933568,5852-1248-1,1.836806051624339E-4
HE 1523-0901,Frebel et al. (2007),http://adsabs.harvard.edu/abs/2007ApJ...660L.117F,15 26 01.069,-09 11 38.86,-221.0,5.0,4630,40,1.0,0.3,-2.95,0.2,Radial velocity from http://simbad.u-strasbg.fr/simbad/sim-ref?bibcode=2006ApJ...652.1585F  radial velocity uncertainty is assumed,--,10,231.50445416666668,-9.194127777777785,9.0E-6,231.5044572,-9.1941361,6317828550897175936,231.5043617,0.2,-9.1942525,0.1,1,6,2000.209,-23.0,1.0,-28.3,1.0,10.628,10.822,10.97,9.027,8.421,8.352,8.84452329099592E-6,6317828550897175936,231.50436158070144,-9.194252512259832,354.23859311207565,37.829959190505704,231.49730679735046,9.249002045989291,0.21068060945382686,-22.57331043658774,-27.981069270360575,10.628457916695833,2015.0,0.2206234113147395,0.14464857840283224,0.22675656338172806,0.7661376301394198,0.4103992049793077,,0.2491036947004636,62.47992347398549,1,3,96,94,97,97,,5,2.6132312,2.4899859E-5,13.810866,-0.14572892,-0.58099395,-0.12101932,,,11,-0.14277753,0.4914236,908918.323730268,717.765432151441,97,NOT_AVAILABLE,0.33599034,-0.05214857,1446488,-0.41618618,0.029568804,-0.63791126,-73.99313,-3.7982845,-21.293554,-27.642412,0.24339986,0.38442394,0.3876831,0.6709988,1635378410781933568,5594-576-1,1.5463506953826368E-4
BPS CS 29497-004,Christlieb et al. (2004),http://adsabs.harvard.edu/abs/2004A%26A...428.1027C,00 28 06.923,-26 03 04.23,105.1,5.0,5090,100,2.4,0.4,-2.64,0.12,Actinide boost. Radial velocity from http://simbad.u-strasbg.fr/simbad/sim-ref?bibcode=2005A%26A...439..129B  assumed error on radial velocity,--,11,7.028845833333333,-26.051175000000004,2.4E-5,7.0288203,-26.0511811,2322729721110506496,7.0288586,0.1,-26.0511842,0.1,2,3,1999.506,8.0,1.3,-0.7,1.3,13.718,14.069,13.63,12.491,12.038,11.965,2.3736405315508547E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J23570052,Aoki et al. (2010),https://ui.adsabs.harvard.edu/#abs/2010ApJ...723L.201A/abstract,23 57 18.91,-00 52 47.8,9.5,1.0,5000,150,4.8,0.3,-3.36,0.16,--,,12,359.32879166666663,-0.8799444444444444,8.2E-5,359.3288012,-0.8798633,2449797050117124480,359.3289853,0.3,-0.8805617,0.1,2,2,2000.594,46.0,3.5,-174.5,3.3,15.328,16.041,15.15,14.091,13.65,13.567,8.170241047045748E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J203843.2-002333,Placco et al. (2017),http://adsabs.harvard.edu/abs/2017arXiv170602934P,20 38 43.2,-00 23 33,-319.6,0.5,4630,100,1.2,0.2,-2.91,0.1,Radial velocity from RAVE DR4  there are two measurements (-638.5 +/- 14.9; -319.6 +/- 0.5)  took the latter.,,13,309.68,-0.3925,9.0E-5,309.6799341,-0.3924392,4226556850750887168,309.6799517,1.3,-0.3925008,0.6,2,8,2000.633,4.4,1.0,-15.5,1.0,12.264,12.631,12.11,10.726,10.185,10.063,8.966184377350333E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
